Dates,Pollster,Sample,Influence,Approve,Disapprove,Net
"11/26 - 12/4, 2025@@24079","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.373544,39.61076,56.84665,-17.23589
"11/14 - 11/17, 2025@@24062","<a href=""https://static.foxnews.com/foxnews.com/content/uploads/2025/11/fox_november-14-17-2025_national_topline_november-19-release.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Beacon Research/Shaw & Co. Research</a>^Sponsor: FOX News^","1,005 RV@@1005",0.303891,40.43019,57.21328,-16.78309
"11/17 - 11/20, 2025@@24065","<a href=""https://americanresearchgroup.com/economy/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">American Research Group</a>","1,100 A@@1100",0.2675851,37.78777,59.47001,-21.68224
"11/13 - 11/17, 2025@@24062","<a href=""https://echelonin.wpenginepowered.com/wp-content/uploads/November-2025-Voter-Omnibus-Topline-External.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Echelon Insights</a>","1,051 LV@@1051",0.2344726,41.04131,57.09995,-16.05864
"11/21 - 11/24, 2025@@24069","<a href=""https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uZaQqtv.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: Economist^","1,677 A@@1677",0.2243949,39.61922,56.03582,-16.4166
"11/3 - 11/25, 2025@@24070","<a href=""https://news.gallup.com/poll/699221/trump-approval-rating-drops-new-second-term-low.aspx"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Gallup</a>","1,321 A@@1321",0.2103009,38.01725,58.16314,-20.14589
"11/10 - 11/17, 2025@@24062","<a href=""https://www.theargumentmag.com/p/the-covid-political-backlash-disappeared"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">The Argument/Verasight</a>","1,508 RV@@1508",0.1994702,42.13164,55.28344,-13.1518
"11/20 - 11/24, 2025@@24069","<a href=""https://www.scribd.com/document/955164028/Yahoo-YouGov-Epstein-Poll-November-2025"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: Yahoo News^","1,684 A@@1684",0.1853249,41.61922,55.03582,-13.4166
"11/19 - 11/21, 2025@@24066","<a href=""https://www.cbsnews.com/news/poll-venezuela-u-s-military-action-trump/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: CBS News^","2,489 A@@2489",0.1798978,41.61922,59.03582,-17.4166
"11/10 - 11/13, 2025@@24058","<a href=""https://maristpoll.marist.edu/polls/a-look-to-the-2026-midterms-november-2025/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Marist College</a>^Sponsor: NPR | PBS News^","1,443 A@@1443",0.1613951,40.0122,55.82196,-15.80976
"11/12 - 11/20, 2025@@24065","<a href=""https://napolitannews.org/jobapproval"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">RMG Research</a>^Sponsor: Napolitan News Service^","3,000 RV@@3000",0.1466476,41.8311,55.88795,-14.05685
"11/14 - 11/17, 2025@@24062","<a href=""https://www.reuters.com/world/us/trump-approval-falls-lowest-his-term-over-prices-epstein-files-reutersipsos-poll-2025-11-18/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Ipsos</a>^Sponsor: Reuters^","1,017 A@@1017",0.1410054,40.01101,58.34583,-18.33482
"11/21 - 11/23, 2025@@24068","<a href=""https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Morning Consult</a>","2,200 RV@@2200",0.1397763,43.61504,53.48262,-9.86758
"11/21 - 12/1, 2025@@24076","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.1253973,41.61076,55.84665,-14.23589
"11/12 - 11/14, 2025@@24059","<a href=""https://www.gelliottmorris.com/p/new-poll-democrats-lead-the-2026"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Verasight</a>^Sponsor: Strength in Numbers^","2,038 A@@2038",0.1176285,41.99729,55.54731,-13.55002
"11/5 - 11/12, 2025@@24057","<a href=""https://law.marquette.edu/poll/2025/11/18/detailed-results-of-the-marquette-law-school-supreme-court-poll-nov-5-12-2025-national-issues/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Marquette University Law School</a>","1,052 A@@1052",0.1164442,42.75764,55.41979,-12.66215
"11/10 - 11/14, 2025@@24059","<a href=""https://www.highpoint.edu/src/files/2023/08/HPUPoll-115-and-116-Memo.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">High Point University</a>","1,004 A@@1004",0.1103801,36.80672,56.44304,-19.63632
"11/15 - 11/17, 2025@@24062","<a href=""https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Hb6uOe2.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: Economist^","1,549 A@@1549",0.0944109,41.61922,55.03582,-13.4166
"11/6 - 11/12, 2025@@24057","<a href=""https://www.survey160.com/methodological-research-blog/survey-160-tracking-poll-november-2025-update"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Survey160</a>","1,513 RV@@1513",0.0750561,37.12966,59.59237,-22.46271
"11/6 - 11/10, 2025@@24055","<a href=""https://apnorc.org/wp-content/uploads/2025/11/Nov-Topline-Final.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">AP-NORC</a>","1,143 A@@1143",0.0706973,38.26543,58.80555,-20.54012
"11/25 - 12/3, 2025@@24078","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0687587,39.61076,56.84665,-17.23589
"11/14 - 11/20, 2025@@24065","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0633601,43.61076,52.84665,-9.235889
"11/24 - 12/2, 2025@@24077","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0629663,40.61076,56.84665,-16.23589
"11/14 - 11/16, 2025@@24061","<a href=""https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Morning Consult</a>","2,201 RV@@2201",0.0540864,44.61504,53.48262,-8.86758
"11/6 - 11/12, 2025@@24057","<a href=""https://pro.morningconsult.com/trackers/global-leader-approval"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Morning Consult</a>","27,608 A@@27608",0.0509761,39.71504,53.68262,-13.96758
"11/20 - 11/26, 2025@@24071","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.042959,42.61076,54.84665,-12.23589
"11/5 - 11/13, 2025@@24058","<a href=""https://napolitannews.org/jobapproval"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">RMG Research</a>^Sponsor: Napolitan News Service^","3,000 RV@@3000",0.0426394,44.8311,52.88795,-8.05685
"11/7 - 11/12, 2025@@24057","<a href=""https://www.reuters.com/world/us/democrats-more-energized-2026-elections-than-republicans-reutersipsos-poll-finds-2025-11-13/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Ipsos</a>^Sponsor: Reuters^",938 RV@@938,0.0417765,42.01101,56.34583,-14.33482
"11/4 - 11/6, 2025@@24051","<a href=""https://harvardharrispoll.com/wp-content/uploads/2025/11/HHP_Nov2025_KeyResults.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^","2,000 RV@@2000",0.0408672,42.41263,53.00893,-10.5963
"10/29 - 11/11, 2025@@24056","<a href=""https://youthpoll.yale.edu/fall-2025-results"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Yale Youth Poll</a>","3,426 RV@@3426",0.0372437,42.29308,55.17808,-12.885
"11/17 - 11/21, 2025@@24066","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.037193,43.61076,52.84665,-9.235889
"11/19 - 11/25, 2025@@24070","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0351896,43.61076,52.84665,-9.235889
"11/18 - 11/24, 2025@@24069","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0322412,42.61076,52.84665,-10.23589
"11/6 - 11/9, 2025@@24054","<a href=""https://navigatorresearch.org/wp-content/uploads/2025/11/Navigator-Topline-F11.12.25.pdf.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Global Strategy Group/GBAO (Navigator Research)</a>","1,000 RV@@1000",0.0312166,40.36673,57.04808,-16.68135
"11/7 - 11/10, 2025@@24055","<a href=""https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_hu2hocz.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: Economist^","1,663 A@@1663",0.0297188,40.61922,55.03582,-14.4166
"11/3 - 11/4, 2025@@24049","<a href=""https://emersoncollegepolling.com/november-2025-national-poll/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Emerson College</a>","1,000 RV@@1000",0.0258889,40.64792,52.06483,-11.41691
"11/7 - 11/13, 2025@@24058","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0199324,40.61076,55.84665,-15.23589
"11/7 - 11/13, 2025@@24058","<a href=""https://www.deseret.com/politics/2025/11/19/americans-not-supportive-trump-national-guard-states/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Morning Consult</a>^Sponsor: Deseret News^","1,745 RV@@1745",0.0195767,41.61504,53.48262,-11.86758
"11/13 - 11/19, 2025@@24064","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0185279,43.61076,52.84665,-9.235889
"11/7 - 11/9, 2025@@24054","<a href=""https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Morning Consult</a>","2,201 RV@@2201",0.0159835,42.61504,55.48262,-12.86758
"11/12 - 11/18, 2025@@24063","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0159778,43.61076,52.84665,-9.235889
"11/11 - 11/17, 2025@@24062","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.013447,43.61076,53.84665,-10.23589
"11/10 - 11/14, 2025@@24059","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0117656,42.61076,53.84665,-11.23589
"11/6 - 11/12, 2025@@24057","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0057988,41.61076,55.84665,-14.23589
"11/5 - 11/11, 2025@@24056","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0049651,41.61076,55.84665,-14.23589
"11/4 - 11/10, 2025@@24055","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.004135,41.61076,54.84665,-13.23589
"11/3 - 11/7, 2025@@24052","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0034716,41.61076,54.84665,-13.23589
"10/31 - 11/6, 2025@@24051","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0.0024777,42.61076,54.84665,-12.23589
"10/29 - 11/6, 2025@@24051","<a href=""https://napolitannews.org/jobapproval"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">RMG Research</a>^Sponsor: Napolitan News Service^","3,000 RV@@3000",0,41.8311,53.88795,-12.05685
"10/30 - 11/5, 2025@@24050","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,42.61076,54.84665,-12.23589
"10/29 - 11/4, 2025@@24049","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,42.61076,54.84665,-12.23589
"11/1 - 11/3, 2025@@24048","<a href=""https://navigatorresearch.org/wp-content/uploads/2025/11/Navigator-Topline-F11.03.25.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Global Strategy Group/GBAO (Navigator Research)</a>","1,000 RV@@1000",0,41.36673,55.04808,-13.68135
"10/28 - 11/3, 2025@@24048","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,43.61076,53.84665,-10.23589
"10/31 - 11/3, 2025@@24048","<a href=""https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5RO6eos.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: Economist^","1,656 A@@1656",0,40.61922,56.03582,-15.4166
"10/31 - 11/2, 2025@@24047","<a href=""https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Morning Consult</a>","2,202 RV@@2202",0,43.61504,53.48262,-9.86758
"10/6 - 11/1, 2025@@24046","<a href=""https://lordashcroftpolls.com/wp-content/uploads/2025/12/LORD-ASHCROFT-POLLS-What-Will-They-Do-Without-Him-Dec-2025.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Lord Ashcroft Polls</a>","10,028 A@@10028",0,42.90558,54.62019,-11.71461
"10/28 - 10/31, 2025@@24045","<a href=""https://tippinsights.com/too-much-winning-trumps-favorability-slumps-in-november-as-voters-take-stock-i-i-tipp-poll/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">TIPP Insights</a>^Sponsor: Issues & Insights^","1,418 A@@1418",0,40.82821,53.73482,-12.90661
"10/27 - 10/31, 2025@@24045","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,41.61076,54.84665,-13.23589
"10/28 - 10/31, 2025@@24045","<a href=""https://www.scrippsnews.com/health/premium-pain/americans-say-health-insurance-costs-are-a-thorn-in-my-side"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Talker Research</a>^Sponsor: Scripps News^","1,000 A@@1000",0,43.75365,48.72285,-4.9692
"10/29 - 10/31, 2025@@24045","<a href=""https://www.cbsnews.com/news/cbs-news-poll-shutdown-impact-economy-personal/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: CBS News^","2,124 A@@2124",0,42.61922,58.03582,-15.4166
"10/22 - 10/30, 2025@@24044","<a href=""https://napolitannews.org/jobapproval"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">RMG Research</a>^Sponsor: Napolitan News Service^","3,000 RV@@3000",0,43.8311,51.88795,-8.05685
"10/24 - 10/30, 2025@@24044","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,41.61076,54.84665,-13.23589
"10/27 - 10/30, 2025@@24044","<a href=""https://s3.documentcloud.org/documents/26211915/cnn-poll-trump-midterms-east-wing-parties.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">SSRS</a>^Sponsor: CNN^","1,245 A@@1245",0,38.11155,60.24077,-22.12922
"10/23 - 10/29, 2025@@24043","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,41.61076,54.84665,-13.23589
"10/27 - 10/29, 2025@@24043","<a href=""https://overtoninsights.com/wp-content/uploads/2025/11/November-2025-Poll-Crosstabs.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Targoz Market Research</a>^Sponsor: Overton Insights^","1,200 RV@@1200",0,43.17743,54.4639,-11.28647
"10/24 - 10/29, 2025@@24043","<a href=""https://www.gelliottmorris.com/p/new-poll-voters-want-democrats-to"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Verasight</a>^Sponsor: Strength in Numbers^","1,567 A@@1567",0,41.99729,54.54731,-12.55002
"10/27 - 10/29, 2025@@24043","<a href=""https://www.newsnationnow.com/polls/full-poll-results-newsnation-national-survey-trump/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">NewsNation</a>","1,610 RV@@1610",0,41.17366,55.87587,-14.70221
"10/24 - 10/28, 2025@@24042","<a href=""https://www.documentcloud.org/documents/26210570-nbc-news-october-2025-poll-11-02-2025-release/?mode=document&q=approve#document/p4"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Hart Research Associates/Public Opinion Strategies</a>^Sponsor: NBC News^","1,000 RV@@1000",0,42.76902,55.08498,-12.31596
"10/22 - 10/28, 2025@@24042","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,41.61076,54.84665,-13.23589
"10/24 - 10/28, 2025@@24042","<a href=""https://www.washingtonpost.com/documents/1d305cca-df33-44a8-ba8d-c98790a67f99.pdf?itid=lk_inline_manual_4"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Ipsos</a>^Sponsor: The Washington Post | ABC News^","2,725 A@@2725",0,43.01101,57.34583,-14.33482
"10/24 - 10/27, 2025@@24041","<a href=""https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_0AkNOQp.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: Economist^","1,623 A@@1623",0,40.61922,57.03582,-16.4166
"10/23 - 10/27, 2025@@24041","<a href=""https://navigatorresearch.org/wp-content/uploads/2025/10/Navigator-Topline-F10.27.25.pdf"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Global Strategy Group/GBAO (Navigator Research)</a>","1,000 RV@@1000",0,41.36673,56.04808,-14.68135
"10/23 - 10/27, 2025@@24041","<a href=""https://www.scribd.com/document/939641649/Yahoo-YouGov-Ballroom-Poll-October-2025"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">YouGov</a>^Sponsor: Yahoo News^","1,770 A@@1770",0,41.61922,55.03582,-13.4166
"10/21 - 10/27, 2025@@24041","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,41.61076,54.84665,-13.23589
"10/24 - 10/26, 2025@@24040","<a href=""https://www.reuters.com/world/us/trumps-popularity-dips-americans-sweat-cost-living-reutersipsos-poll-finds-2025-10-28/"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Ipsos</a>^Sponsor: Reuters^","1,018 A@@1018",0,42.01101,55.34583,-13.33482
"10/24 - 10/26, 2025@@24040","<a href=""https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Morning Consult</a>","2,202 RV@@2202",0,44.61504,52.48262,-7.86758
"10/20 - 10/24, 2025@@24038","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,42.61076,53.84665,-11.23589
"10/17 - 10/23, 2025@@24037","<a href=""https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term"" style=""color:#000000; text-decoration: underline;"" target=""_blank"" rel=""nofollow noopener"">Rasmussen Reports</a>","1,500 LV@@1500",0,43.61076,52.84665,-9.235889
