Dates,Pollster,Sponsor,Sample,Influence,Approve,RollingWeightedApprove
2025-11-13,Rasmussen Reports,,"1,500 LV@@1500",0.0326931,40.56205,41.30900
2025-11-13,Morning Consult,Deseret News,"1,745 RV@@1745",0.0311489,41.62464,41.30985
2025-11-12,Marquette University Law School,,"1,052 A@@1052",0.1663489,42.78012,41.33063
2025-11-12,Morning Consult,,"27,608 A@@27608",0.0728229,39.72464,41.32075
2025-11-12,Ipsos,Reuters,938 RV@@938,0.0674965,42.02571,41.32475
2025-11-12,Rasmussen Reports,,"1,500 LV@@1500",0.0083949,41.56205,41.32492
2025-11-11,Rasmussen Reports,,"1,500 LV@@1500",0.0075253,41.56205,41.32507
2025-11-10,AP-NORC,,"1,143 A@@1143",0.106046,38.28137,41.29824
2025-11-10,YouGov,Economist,"1,663 A@@1663",0.0424554,40.61495,41.29584
2025-11-10,Rasmussen Reports,,"1,500 LV@@1500",0.0066657,41.56205,41.29598
2025-11-09,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0.0468249,40.38024,41.29245
2025-11-09,Morning Consult,,"2,201 RV@@2201",0.0239752,42.62464,41.29508
2025-11-07,Rasmussen Reports,,"1,500 LV@@1500",0.0069552,41.56205,41.29523
2025-11-06,Harris Insights & Analytics,Harvard CAPS,"2,000 RV@@2000",0.0851965,42.54302,41.30391
2025-11-06,RMG Research,Napolitan News Service,"3,000 RV@@3000",0.0171642,41.83949,41.30466
2025-11-06,Rasmussen Reports,,"1,500 LV@@1500",0.0098715,42.56205,41.30567
2025-11-05,Rasmussen Reports,,"1,500 LV@@1500",0.002468,42.56205,41.30592
2025-11-04,Emerson College,,"1,000 RV@@1000",0.0647223,40.65828,41.30253
2025-11-04,Rasmussen Reports,,"1,500 LV@@1500",0.0016478,42.56205,41.30270
2025-11-03,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0.0133694,41.38024,41.30278
2025-11-03,YouGov,Economist,"1,656 A@@1656",0.0123401,40.61495,41.30209
2025-11-03,Rasmussen Reports,,"1,500 LV@@1500",0.0008255,43.56205,41.30224
2025-11-02,Morning Consult,,"2,202 RV@@2202",0.0056245,43.62464,41.30330
2025-10-31,Talker Research,Scripps News,"1,000 A@@1000",0,43.76028,41.30330
2025-10-31,Rasmussen Reports,,"1,500 LV@@1500",0,41.56205,41.30330
2025-10-31,TIPP Insights,Issues & Insights,"1,418 A@@1418",0,40.82496,41.30330
2025-10-31,YouGov,CBS News,"2,124 A@@2124",0,42.61495,41.30330
2025-10-30,SSRS,CNN,"1,245 A@@1245",0,38.11805,41.30330
2025-10-30,Rasmussen Reports,,"1,500 LV@@1500",0,41.56205,41.30330
2025-10-30,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,43.83949,41.30330
2025-10-29,Targoz Market Research,Overton Insights,"1,200 RV@@1200",0,43.1853,41.30330
2025-10-29,NewsNation,,"1,610 RV@@1610",0,41.17906,41.30330
2025-10-29,Verasight,Strength in Numbers,"1,567 A@@1567",0,42.01431,41.30330
2025-10-29,Rasmussen Reports,,"1,500 LV@@1500",0,41.56205,41.30330
2025-10-28,Hart Research Associates/Public Opinion Strategies,NBC News,"1,000 RV@@1000",0,42.77336,41.30330
2025-10-28,Ipsos,The Washington Post | ABC News,"2,725 A@@2725",0,43.02571,41.30330
2025-10-28,Rasmussen Reports,,"1,500 LV@@1500",0,41.56205,41.30330
2025-10-27,YouGov,Economist,"1,623 A@@1623",0,40.61495,41.30330
2025-10-27,Rasmussen Reports,,"1,500 LV@@1500",0,41.56205,41.30330
2025-10-27,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,41.38024,41.30330
2025-10-27,YouGov,Yahoo News,"1,770 A@@1770",0,41.61495,41.30330
2025-10-26,Ipsos,Reuters,"1,018 A@@1018",0,42.02571,41.30330
2025-10-26,Morning Consult,,"2,202 RV@@2202",0,44.62464,41.30330
2025-10-24,Rasmussen Reports,,"1,500 LV@@1500",0,42.56205,41.30330
2025-10-23,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-10-23,Clarity Campaign Labs,,"1,047 RV@@1047",0,45.05738,41.30330
2025-10-22,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-10-22,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,46.83949,41.30330
2025-10-21,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-10-20,Echelon Insights,,"1,010 LV@@1010",0,45.055,41.30330
2025-10-20,Ipsos,Reuters,"4,385 A@@4385",0,44.02571,41.30330
2025-10-20,YouGov,University of Massachusetts Lowell,"1,000 A@@1000",0,43.61495,41.30330
2025-10-20,American Research Group,,"1,100 A@@1100",0,39.79819,41.30330
2025-10-20,YouGov,Economist,"1,621 A@@1621",0,40.61495,41.30330
2025-10-20,Quinnipiac University,,"1,327 RV@@1327",0,42.53584,41.30330
2025-10-20,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-10-20,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,43.38024,41.30330
2025-10-19,Morning Consult,,"2,200 RV@@2200",0,44.62464,41.30330
2025-10-19,Hart Research,Senate Majority PAC,"1,221 LV@@1221",0,44.62543,41.30330
2025-10-17,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-10-16,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-10-16,The Bullfinch Group,Independent Center,"1,200 A@@1200",0,42.6516,41.30330
2025-10-16,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,47.83949,41.30330
2025-10-16,Gallup,,"1,000 A@@1000",0,43.02891,41.30330
2025-10-16,The Argument/Verasight,,"1,530 RV@@1530",0,44.14847,41.30330
2025-10-15,J.L. Partners,Daily Mail,"1,004 RV@@1004",0,46.10332,41.30330
2025-10-15,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-10-14,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-10-14,Emerson College,,"1,000 RV@@1000",0,44.85828,41.30330
2025-10-13,AP-NORC,,"1,289 A@@1289",0,39.28137,41.30330
2025-10-13,YouGov,Economist,"1,622 A@@1622",0,41.61495,41.30330
2025-10-13,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,44.38024,41.30330
2025-10-13,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-10-12,Morning Consult,,"2,202 RV@@2202",0,43.62464,41.30330
2025-10-12,John Zogby Strategies,,"1,000 LV@@1000",0,43.57634,41.30330
2025-10-12,Hart Research Associates/Public Opinion Strategies,CNBC,"1,000 A@@1000",0,43.77336,41.30330
2025-10-10,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-10-09,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,46.83949,41.30330
2025-10-09,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-10-08,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-10-07,Ipsos,Reuters,"1,154 A@@1154",0,42.02571,41.30330
2025-10-07,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-10-07,Morning Consult,,"27,079 A@@27079",0,42.02464,41.30330
2025-10-06,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-10-06,YouGov,Economist,"1,648 A@@1648",0,40.61495,41.30330
2025-10-06,OH Predictive Insights,Center Square,"2,565 RV@@2565",0,47.29945,41.30330
2025-10-05,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,44.38024,41.30330
2025-10-05,Morning Consult,,"2,200 RV@@2200",0,44.62464,41.30330
2025-10-03,Rasmussen Reports,,"1,500 LV@@1500",0,42.56205,41.30330
2025-10-03,YouGov,CBS News,"2,441 A@@2441",0,43.61495,41.30330
2025-10-02,TIPP Insights,Issues & Insights,"1,459 A@@1459",0,42.82496,41.30330
2025-10-02,Harris Insights & Analytics,Harvard CAPS,"2,413 RV@@2413",0,44.54302,41.30330
2025-10-02,Rasmussen Reports,,"1,500 LV@@1500",0,42.56205,41.30330
2025-10-01,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-10-01,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,46.83949,41.30330
2025-09-30,InsiderAdvantage,,800 LV@@800,0,48.47902,41.30330
2025-09-30,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-09-29,YouGov,Economist,"1,656 A@@1656",0,41.61495,41.30330
2025-09-29,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-09-29,YouGov,Yahoo News,"1,676 A@@1676",0,42.61495,41.30330
2025-09-29,Leger,,"1,010 A@@1010",0,40.37664,41.30330
2025-09-28,Pew Research Center,,"3,445 A@@3445",0,41.88805,41.30330
2025-09-28,Morning Consult,,"2,202 RV@@2202",0,44.62464,41.30330
2025-09-27,The New York Times/Siena College,,"1,313 RV@@1313",0,43.38463,41.30330
2025-09-26,Marist College,NPR | PBS News,"1,477 A@@1477",0,42.02982,41.30330
2025-09-26,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-09-25,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-09-24,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,45.83949,41.30330
2025-09-24,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-09-24,Marquette University Law School,,"1,043 A@@1043",0,42.78012,41.30330
2025-09-23,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-22,Echelon Insights,,"1,071 LV@@1071",0,44.055,41.30330
2025-09-22,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-09-22,YouGov,Economist,"1,551 A@@1551",0,40.61495,41.30330
2025-09-21,Ipsos,Reuters,"1,019 A@@1019",0,43.02571,41.30330
2025-09-21,Quinnipiac University,,"1,276 RV@@1276",0,40.53584,41.30330
2025-09-21,Morning Consult,,"2,201 RV@@2201",0,44.62464,41.30330
2025-09-20,American Research Group,,"1,100 A@@1100",0,39.79819,41.30330
2025-09-19,Verasight,Strength in Numbers,"1,500 A@@1500",0,43.01431,41.30330
2025-09-19,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-09-18,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-09-18,The Argument/Verasight,,"1,541 RV@@1541",0,42.14847,41.30330
2025-09-17,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-09-17,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,46.83949,41.30330
2025-09-16,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-09-16,"Normington, Petts & Associates",Third Way,800 LV@@800,0,44.73517,41.30330
2025-09-16,Gallup,,"1,000 A@@1000",0,42.02891,41.30330
2025-09-16,AtlasIntel,,"1,066 A@@1066",0,46.46828,41.30330
2025-09-16,TIPP Insights,League of American Workers,"1,561 RV@@1561",0,45.82496,41.30330
2025-09-15,YouGov,,"1,103 A@@1103",0,42.61495,41.30330
2025-09-15,AP-NORC,,"1,183 A@@1183",0,41.28137,41.30330
2025-09-15,Ipsos,The Washington Post,"2,513 A@@2513",0,45.02571,41.30330
2025-09-15,SurveyMonkey,The 19th,"20,807 A@@20807",0,43.15535,41.30330
2025-09-15,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-15,YouGov,Economist,"1,567 A@@1567",0,40.61495,41.30330
2025-09-14,Morning Consult,,"2,204 RV@@2204",0,44.62464,41.30330
2025-09-12,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-11,Clarity Campaign Labs,,"1,001 RV@@1001",0,45.05738,41.30330
2025-09-11,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,45.83949,41.30330
2025-09-11,The Bullfinch Group,Independent Center,"2,000 A@@2000",0,45.6516,41.30330
2025-09-11,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-10,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-09,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-09,Beacon Research/Shaw & Co. Research,FOX News,"1,004 RV@@1004",0,45.43835,41.30330
2025-09-09,Ipsos,Reuters,"1,084 A@@1084",0,44.02571,41.30330
2025-09-09,YouGov,Taxpayers Protection Alliance,"2,030 A@@2030",0,43.61495,41.30330
2025-09-08,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,43.38024,41.30330
2025-09-08,Public Religion Research Institute,"Brookings Institute, Carnegie Corporation of New York, Ford Foundation, Unitarian Universalist Veatch Program at Shelter Rock","5,543 A@@5543",0,43.18615,41.30330
2025-09-08,YouGov,Economist,"1,644 A@@1644",0,42.61495,41.30330
2025-09-08,Morning Consult,,"31,492 A@@31492",0,42.82464,41.30330
2025-09-08,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-08,Morning Consult,,"2,201 RV@@2201",0,43.62464,41.30330
2025-09-05,YouGov,CBS News,"2,385 A@@2385",0,45.61495,41.30330
2025-09-05,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-09-04,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-03,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,45.83949,41.30330
2025-09-03,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-02,J.L. Partners,Daily Mail,867 RV@@867,0,49.10332,41.30330
2025-09-02,YouGov,Economist,"1,691 A@@1691",0,42.61495,41.30330
2025-09-02,YouGov,Yahoo News,"1,690 A@@1690",0,41.61495,41.30330
2025-09-01,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-09-01,SurveyMonkey,NBC News,"30,196 A@@30196",0,43.15535,41.30330
2025-08-31,John Zogby Strategies,,"1,005 LV@@1005",0,45.67634,41.30330
2025-08-31,Morning Consult,,"2,202 RV@@2202",0,44.62464,41.30330
2025-08-31,Leger,,"1,014 A@@1014",0,41.37664,41.30330
2025-08-29,TIPP Insights,Issues & Insights,"1,362 A@@1362",0,43.82496,41.30330
2025-08-29,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-28,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,45.83949,41.30330
2025-08-28,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-27,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-26,Talker Research,Scripps News,"1,000 A@@1000",0,42.76028,41.30330
2025-08-26,Emerson College,,"1,000 RV@@1000",0,44.25829,41.30330
2025-08-26,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-08-25,AP-NORC,,"1,182 A@@1182",0,47.28137,41.30330
2025-08-25,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-08-25,Quinnipiac University,,"1,220 RV@@1220",0,39.53584,41.30330
2025-08-25,YouGov,Economist,"1,523 A@@1523",0,42.61495,41.30330
2025-08-24,Morning Consult,,"2,200 RV@@2200",0,45.62464,41.30330
2025-08-24,Ipsos,Reuters,"1,022 A@@1022",0,42.02571,41.30330
2025-08-22,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-08-21,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-08-21,Verasight,Strength in Numbers,"1,500 A@@1500",0,42.01431,41.30330
2025-08-21,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,44.83949,41.30330
2025-08-21,Harris Insights & Analytics,Harvard CAPS,"2,025 RV@@2025",0,45.54302,41.30330
2025-08-20,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-08-20,American Research Group,,"1,100 A@@1100",0,40.79819,41.30330
2025-08-20,Gallup,,"1,094 A@@1094",0,42.02891,41.30330
2025-08-19,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-08-18,Morning Consult,,"2,201 RV@@2201",0,45.62464,41.30330
2025-08-18,Echelon Insights,,"1,057 LV@@1057",0,46.055,41.30330
2025-08-18,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-18,YouGov,Economist,"1,568 A@@1568",0,41.61495,41.30330
2025-08-18,Ipsos,Reuters,"4,446 A@@4446",0,42.02571,41.30330
2025-08-17,InsiderAdvantage,,"1,000 LV@@1000",0,50.47902,41.30330
2025-08-17,The Argument/Verasight,,"1,562 RV@@1562",0,43.14847,41.30330
2025-08-15,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-08-14,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-08-14,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,43.83949,41.30330
2025-08-13,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-12,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-08-12,Merlin Strategy,Azoria Capital,"2,000 A@@2000",0,42.50898,41.30330
2025-08-11,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,43.38024,41.30330
2025-08-11,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-11,YouGov,Economist,"1,635 A@@1635",0,43.61495,41.30330
2025-08-10,Pew Research Center,,"3,554 A@@3554",0,39.88805,41.30330
2025-08-10,Morning Consult,,"2,200 RV@@2200",0,44.62464,41.30330
2025-08-09,Morning Consult,,"33,231 A@@33231",0,43.52464,41.30330
2025-08-08,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-07,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,45.83949,41.30330
2025-08-07,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-08-05,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-08-04,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-04,YouGov,Economist,"1,702 A@@1702",0,42.61495,41.30330
2025-08-03,Hart Research Associates/Public Opinion Strategies,CNBC,"1,000 A@@1000",0,45.77336,41.30330
2025-08-03,Morning Consult,,"2,201 RV@@2201",0,43.62464,41.30330
2025-08-01,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-08-01,TIPP Insights,Issues & Insights,"1,362 A@@1362",0,45.82496,41.30330
2025-07-31,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-07-31,Clarity Campaign Labs,,"1,018 RV@@1018",0,45.05738,41.30330
2025-07-31,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,45.83949,41.30330
2025-07-30,University of Massachusetts (Amherst),WCVB-TV,"1,000 A@@1000",0,39.181,41.30330
2025-07-30,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-07-29,John Zogby Strategies,,"1,010 LV@@1010",0,42.67634,41.30330
2025-07-29,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-07-28,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-07-28,YouGov,Yahoo News,"1,729 A@@1729",0,40.61495,41.30330
2025-07-28,YouGov,Economist,"1,777 A@@1777",0,41.61495,41.30330
2025-07-27,Leger,"Maintenant Media, 338Canada","1,007 A@@1007",0,39.37664,41.30330
2025-07-27,Morning Consult,,"2,203 RV@@2203",0,45.62464,41.30330
2025-07-27,Ipsos,Reuters,"1,023 A@@1023",0,42.02571,41.30330
2025-07-25,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-07-24,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-07-24,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,45.83949,41.30330
2025-07-24,McLaughlin & Associates,America's New Majority Project,"2,000 RV@@2000",0,45.15004,41.30330
2025-07-23,Trafalgar Group/Insider Advantage,,"1,200 LV@@1200",0,48.22127,41.30330
2025-07-23,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-07-22,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-07-22,The Bullfinch Group,,"1,200 A@@1200",0,41.6516,41.30330
2025-07-22,J.L. Partners,Daily Mail,"1,007 RV@@1007",0,45.10332,41.30330
2025-07-22,Emerson College,Nexstar,"1,400 RV@@1400",0,45.25829,41.30330
2025-07-21,Gallup,,"1,002 A@@1002",0,39.02891,41.30330
2025-07-21,YouGov,Economist,"1,729 A@@1729",0,42.61495,41.30330
2025-07-21,YouGov,The Times of London,"1,470 A@@1470",0,40.61495,41.30330
2025-07-21,High Point University,,"1,000 A@@1000",0,40.83036,41.30330
2025-07-21,GBAO,Third Way,"2,000 RV@@2000",0,44.52821,41.30330
2025-07-21,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,43.38024,41.30330
2025-07-21,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-07-21,Beacon Research/Shaw & Co. Research,FOX News,"1,000 RV@@1000",0,45.43835,41.30330
2025-07-20,American Research Group,,"1,100 A@@1100",0,40.79819,41.30330
2025-07-20,Morning Consult,,"2,202 RV@@2202",0,43.62464,41.30330
2025-07-20,Fabrizio Lee & Associates/Impact Research,Wall Street Journal,"1,500 RV@@1500",0,45.81487,41.30330
2025-07-18,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-07-18,YouGov,CBS News,"2,343 A@@2343",0,43.61495,41.30330
2025-07-18,AtlasIntel,,"1,935 A@@1935",0,43.86828,41.30330
2025-07-17,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-07-16,Verasight,Strength in Numbers,"1,500 A@@1500",0,43.01431,41.30330
2025-07-16,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,47.83949,41.30330
2025-07-16,Ipsos,Reuters,"1,027 A@@1027",0,43.02571,41.30330
2025-07-16,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-07-16,Marquette University Law School,,"1,005 A@@1005",0,44.78012,41.30330
2025-07-15,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-07-14,Quinnipiac University,,"1,290 RV@@1290",0,42.53584,41.30330
2025-07-14,Echelon Insights,,"1,084 LV@@1084",0,44.055,41.30330
2025-07-14,YouGov,Economist,"1,680 A@@1680",0,42.61495,41.30330
2025-07-14,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-07-14,AP-NORC,,"1,473 A@@1473",0,42.28137,41.30330
2025-07-13,SSRS,CNN,"1,057 A@@1057",0,43.11805,41.30330
2025-07-13,YouGov,,"2,104 A@@2104",0,40.61495,41.30330
2025-07-13,Morning Consult,,"2,201 RV@@2201",0,45.62464,41.30330
2025-07-11,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-07-10,Morning Consult,,"35,090 A@@35090",0,42.61464,41.30330
2025-07-10,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-07-10,J.L. Partners,Daily Mail,"1,013 RV@@1013",0,44.10332,41.30330
2025-07-10,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,45.83949,41.30330
2025-07-09,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-07-08,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-07-08,Harris Insights & Analytics,Harvard CAPS,"2,044 RV@@2044",0,45.54302,41.30330
2025-07-07,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-07-07,YouGov,Economist,"1,528 A@@1528",0,43.61495,41.30330
2025-07-06,Morning Consult,,"2,203 RV@@2203",0,43.62464,41.30330
2025-07-06,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-07-03,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-07-02,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-07-01,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
